Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
03/03/2020,09:00:00,107655,107980,107575,107735,49473,163880
03/03/2020,09:10:00,107735,107820,107505,107635,54749,169949
03/03/2020,09:20:00,107635,107730,107365,107435,57190,182084
03/03/2020,09:30:00,107440,107500,106960,106975,115790,421124
03/03/2020,09:40:00,106970,107055,106620,106840,124852,470287
03/03/2020,09:50:00,106840,107135,106720,107115,88242,335733
03/03/2020,10:00:00,107120,107125,106450,106615,133765,483505
03/03/2020,10:10:00,106620,107105,106555,107035,109508,402790
03/03/2020,10:20:00,107035,107560,106970,107440,115575,417365
03/03/2020,10:30:00,107440,107675,107200,107330,114554,430184
03/03/2020,10:40:00,107330,107395,106810,106960,97420,376742
03/03/2020,10:50:00,106965,107090,106770,106965,77813,301359
03/03/2020,11:00:00,106965,107165,106655,107145,93776,376894
03/03/2020,11:10:00,107145,107465,107140,107400,77075,291066
03/03/2020,11:20:00,107405,107585,107310,107450,53275,187807
03/03/2020,11:30:00,107455,107475,106750,106950,131086,499783
03/03/2020,11:40:00,106945,107005,106620,106805,86199,336589
03/03/2020,11:50:00,106800,106865,106245,106370,106554,426028
03/03/2020,12:00:00,106370,109960,106345,108700,176530,673066
03/03/2020,12:10:00,108705,108895,107790,108295,154788,482020
03/03/2020,12:20:00,108295,109060,108235,108775,109090,382681
03/03/2020,12:30:00,108775,109135,108590,108920,93984,348413
03/03/2020,12:40:00,108920,109395,108755,108770,99646,359794
03/03/2020,12:50:00,108770,109110,108675,109035,71760,261749
03/03/2020,13:00:00,109035,109060,108590,108685,64219,233186
03/03/2020,13:10:00,108690,108690,107870,107965,106250,387051
03/03/2020,13:20:00,107970,108035,107415,107460,97072,328016
03/03/2020,13:30:00,107460,108095,107335,108085,94134,332981
03/03/2020,13:40:00,108090,108235,107305,107320,100422,363002
03/03/2020,13:50:00,107320,107945,107235,107815,82622,294277
03/03/2020,14:00:00,107815,108125,107535,108090,73939,265547
03/03/2020,14:10:00,108085,108215,107820,107850,68791,251218
03/03/2020,14:20:00,107860,107935,107505,107565,71340,262894
03/03/2020,14:30:00,107570,107750,107470,107715,54339,214353
03/03/2020,14:40:00,107715,108045,107580,107965,62072,233089
03/03/2020,14:50:00,107960,107985,107490,107675,63296,240527
03/03/2020,15:00:00,107680,107685,107110,107160,78840,307420
03/03/2020,15:10:00,107155,107235,106820,106900,78513,277005
03/03/2020,15:20:00,106900,107015,106530,106780,76624,307336
03/03/2020,15:30:00,106780,106850,106450,106740,69848,277827
03/03/2020,15:40:00,106735,106790,106040,106055,80028,333244
03/03/2020,15:50:00,106055,106210,105565,105625,86683,359837
03/03/2020,16:00:00,105620,105815,105030,105030,99415,390175
03/03/2020,16:10:00,105030,105450,104870,104875,96613,371453
03/03/2020,16:20:00,104875,104900,104775,104825,5814,23956